order_id,order_date,customer_name,email,country,product,category,unit_price,quantity,total,payment_method
1001,2024-01-05,Juan Perez,juanp@gmail.com,Argentina,Notebook Lenovo,Electronics,"1.200,00","1,00","1.200,00",credit
1002,2024-01-05,Ana Gómez,ana@gmail.com,Argentina,Mouse Logitech,Electronics,"25,00","2,00","50,00",debit
1003,2024-01-06,Carlos Ruiz,carlos@gmail.com,España,Teclado Mecanico,Electronics,"80,00","1,00","80,00",credit
1004,2024-01-06,Juan Perez,juanp@gmail.com,Argentina,Notebook Lenovo,Electronics,"1.200,00","1,00","1.200,00",credit
1005,2024-01-07,María Lopez,maria@gmail.com,Mexico,Silla Oficina,Furniture,"300,00","1,00","300,00",cash
1006,2024-01-07,Pedro Martinez,pedro@gmail.com,España,Mouse Logitech,Electronics,"25,00","3,00","75,00",debit
1007,2024-01-08,Ana Gómez,ana@gmail.com,Argentina,Escritorio,Furniture,"450,00","1,00","450,00",credit
1008,2024-01-08,Carlos Ruiz,carlos@gmail.com,España,Notebook Lenovo,Electronics,"1.200,00","1,00","1.200,00",credit
1009,2024-01-08,Juan Perez,juanp@gmail.com,Argentina,Mouse Logitech,Electronics,"25,00","4,00","100,00",cash
1010,2024-01-09,,,Argentina,Teclado Mecanico,Electronics,"80,00","1,00","80,00",credit
1011,2024-01-10,María Lopez,maria@gmail.com,Mexico,Silla Oficina,Furniture,"300,00","2,00","600,00",debit
1012,2024-01-10,Ana Gómez,ana@gmail.com,Argentina,Mouse Logitech,Electronics,"25,00","1,00","25,00",debit
